,Synonyms,Japanese,Type,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,description,name,French,Theme,English,Themes,German,Spanish,Genre,Broadcast,Demographics
903,"Sekai-ichi Hatsukoi, Sekai'ichi Hatsukoi, World's Greatest First Love",世界一初恋 TV,TV,12,Finished Airing,"Apr 9, 2011 to Jun 25, 2011",Spring 2011,"Lantis,       Kadokawa Shoten,       AT-X,       DAX Production,       KlockWorx",Funimation,Studio Deen,Manga,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.631 (scored by 119642119,642 users)      1          indicates a weighted score.",#140422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1109,"219,768","3,064","After having to deal with jealousy from his co-workers for working under his father's name, prideful literary editor Ritsu Onodera is determined to establish himself in the industry. To accomplish this, he quits his job at his father's publishing company and transfers to Marukawa Publishing. But instead of being placed in their literary division, Ritsu finds himself working as the rookie manga editor for the Emerald editing department, a team that operates under extremely tight schedules in order to meet deadlines. There, Ritsu is introduced to the infamous editor-in-chief Masamune Takano, a persistent man who strives for results.

As it turns out, Takano is actually Ritsu's high school love, and it is the aftermath of that heartbreak has caused Ritsu's reluctance to fall in love again. Now with the two reunited after several years of separation, the reestablishment of their relationship is marked by Takano's vow to make Ritsu say that he loves him again.

Sekaiichi Hatsukoi follows three couples that are interconnected within the manga industry, with each being subject to the budding of first love. 

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Sekaiichi Hatsukoi</strong></h1><br/><p class=""title-english title-inherit"">Sekai Ichi Hatsukoi - World's Greatest First Love</p></div>",,,Sekai Ichi Hatsukoi - World's Greatest First Love,"Adult CastAdult Cast,         Otaku CultureOtaku Culture,         WorkplaceWorkplace",,,Boys LoveBoys Love,,
904,Sidonia no Kishi,シドニアの騎士,TV,12,Finished Airing,"Apr 11, 2014 to Jun 27, 2014",Spring 2014,"Starchild Records,       Mainichi Broadcasting System,       Kodansha,       KlockWorx","Funimation,       Sentai Filmworks",Polygon Pictures,Manga,"ActionAction,         Sci-FiSci-Fi",SeinenSeinen,25 min. per ep.,R+ - Mild Nudity,"7.631 (scored by 110576110,576 users)      1          indicates a weighted score.",#140522    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1051,"232,294","1,485","After destroying Earth many years ago, the alien race Gauna has been pursuing the remnants of humanity—which, having narrowly escaped, fled across the galaxy in a number of giant seed ships. In the year 3394, Nagate Tanikaze surfaces from his lifelong seclusion deep beneath the seed ship Sidonia in search of food on the upper levels, only to find himself dragged into events unfolding without his knowledge.

When the Gauna begin their assault on Sidonia, it's up to Tanikaze—with the help of his fellow soldiers and friends Shizuka Hoshijiro, Izana Shinatose, and Yuhata Midorikawa—to defend humanity's last hope for survival, and defeat their alien foes. Sidonia no Kishi follows Tanikaze as he discovers the world that has been above him his entire life, and becomes the hero Sidonia needs.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Sidonia no Kishi</strong></h1><br/><p class=""title-english title-inherit"">Knights of Sidonia</p></div>",Knights of Sidonia,,Knights of Sidonia,"MechaMecha,         SpaceSpace",,Knights of Sidonia,,Unknown,
905,,スラムダンク 吠えろバスケットマン魂!!花道と流川の熱き夏,Movie,1,Finished Airing,"Jul 15, 1995",,"None found, add some","None found, add some",Toei Animation,Manga,,ShounenShounen,40 min.,PG-13 - Teens 13 or older,"7.631 (scored by 87688,768 users)      1          indicates a weighted score.",#140622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#5113,"17,859",12,"Ichiro Mizusawa, a player from Rukawa's old junior high school, Tomigoaka, is diagnosed with a crippling leg condition and wants to play one last game with Rukawa. Hanamichi sets out to help the boy and fulfill his wish. 

(Source: ANN)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu</strong></h1></div>",,,,"SchoolSchool,         Team SportsTeam Sports",,,SportsSports,,
906,,シュガーアップル・フェアリーテイル,TV,12,Finished Airing,"Jul 7, 2023 to Sep 22, 2023",Summer 2023,"AT-X,       flying DOG,       Crunchyroll,       Kadokawa,       BS Asahi","None found, add some",J.C.Staff,Light novel,"AdventureAdventure,         DramaDrama,         FantasyFantasy,         RomanceRomance",ShoujoShoujo,22 min. per ep.,PG-13 - Teens 13 or older,"7.631 (scored by 2447424,474 users)      1          indicates a weighted score.",#140722    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#2898,"58,201",323,"Despite having accomplished a lifelong dream of hers, Ann Halford faces further challenges ahead. Bridget Paige, the daughter of the Paige Workshop's owner, still possesses the wing of Shall Fen Shall, Ann's former fairy companion. In determination to save Shall from the obsessive Bridget, Ann decides to join the Paige Workshop, hoping at the same time to perhaps reunite with her close friend.

Having been appointed head of the workshop, Ann becomes entrusted with rebuilding it to its former glory. She quickly discovers that the Paige Workshop has a unique focus on tradition and individuality, and recognizes that she will need to learn about her team and completely revamp the workshop in order to succeed. Motivated by her strong desire to rescue Shall and her obligations as a sugar artisan, Ann wholeheartedly dedicates herself to her new position.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Sugar Apple Fairy Tale Part 2</strong></h1></div>",,Visual ArtsVisual Arts,,,,,,,
907,"TenSura, That Time I Got Reincarnated as a Slime Movie",劇場版 転生したらスライムだった件 紅蓮の絆編,Movie,1,Finished Airing,"Nov 25, 2022",,"None found, add some","None found, add some",8bit,Manga,"ActionAction,         AdventureAdventure,         ComedyComedy,         FantasyFantasy",ShounenShounen,1 hr. 48 min.,PG-13 - Teens 13 or older,"7.631 (scored by 8344983,449 users)      1          indicates a weighted score.",#140822    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1195,"202,231","1,332","In Raja, a small country located to the west of Tempest. Rimuru and his companions get involved in a long-running conspiracy that swirls around the mysterious power of the queen. Rimuru and his commander Benimaru also encounter another ogre survivor named Hiiro, a man that used to be the brother of Benimaru.

(Source: ANN)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen</strong></h1><br/><p class=""title-english title-inherit"">That Time I Got Reincarnated as a Slime: The Movie - Scarlet Bond</p></div>",,,,"IsekaiIsekai,         ReincarnationReincarnation",,,,,
908,,通灵妃,ONA,16,Finished Airing,"Nov 30, 2018 to Apr 19, 2019",,Tencent Animation & Comics,"None found, add some",Haoliners Animation League,Web manga,"ComedyComedy,         DramaDrama,         RomanceRomance",,20 min. per ep.,PG-13 - Teens 13 or older,"7.631 (scored by 1986719,867 users)      1          indicates a weighted score.",#140922    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#3292,"45,565",633,"When Qian Yunshang's marriage to Ye Youming is arranged by the emperor, she is terrified that the bad blood between their families will lead to her being treated miserably in the Ye household. Torn between duty and concern for his daughter, Qian Aotian devises a reckless plan. He summons his firstborn daughter—her existence unknown to all but his own family—to be the stand-in for her younger sister.

Due to her unusual powers, Qian Yun Xi was exiled by her family when she was a child. Deprived of filial affection, she made a life of her own amid the wilderness on Mt. Ling Yun. However, everything begins to change when she marries Ye Youming in her sister's stead. 

Harboring immense contempt for the family of Qian, Ye Youming refuses to acknowledge Qian Yun Xi as his wife and treats her coldly, going so far as to banish her from his palace grounds. But he can only resist her childlike charm and boldness for so long...

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Tong Ling Fei</strong></h1><br/><p class=""title-english title-inherit"">Psychic Princess</p></div>",Psychic Princess,HistoricalHistorical,Psychic Princess,,Psychic Princess,Psychic Princess,,,
909,,ヤマノススメ Next Summit,TV,12,Finished Airing,"Oct 5, 2022 to Dec 21, 2022",Fall 2022,"Earth Star Entertainment,       Good Smile Company,       King Records,       Kadokawa,       Culture Entertainment",Sentai Filmworks,8bit,Manga,"AdventureAdventure,         Slice of LifeSlice of Life",,24 min. per ep.,PG-13 - Teens 13 or older,"7.631 (scored by 69096,909 users)      1          indicates a weighted score.",#141022    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#4419,"25,247",104,"While reminiscing about her journey so far, Aoi Yukimura finds herself eager to go mountaineering once more. A likely opportunity arises when Koharu Senjuin invites Aoi to check out the Mountaineering Club after school. As the head of the club, Koharu speaks enthusiastically of the activities she and the other members partake in, especially as they strive to reach the top in various competitions.

Although impressed by the club's dedication to its goals, Aoi feels reluctant to join, preferring to learn and enjoy mountaineering at her own pace. Her experience during this brief visit, however, leaves her wondering why she climbs mountains in the first place. With the support of her friends, Aoi searches for the true motivation behind her hobby, all while continuing to train for the highly anticipated second trip to the summit of Mt. Fuji.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Yama no Susume: Next Summit</strong></h1><br/><p class=""title-english title-inherit"">Encouragement of Climb: Next Summit</p></div>",,,,"CGDCTCGDCT,         IyashikeiIyashikei",,,,,
910,"AKB0048 2nd Season, AKB0048 Second Season",AKB0048 next stage,TV,13,Finished Airing,"Jan 6, 2013 to Mar 31, 2013",Winter 2013,Starchild Records,Sentai Filmworks,Satelight,Original,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.631 (scored by 2032020,320 users)      1          indicates a weighted score.",#141122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#3686,"37,252",320,"In the year since the 77th generation understudies joined AKB0048, the Deep Galactic Trade Organization [DGTO] and DES have stepped up their attacks on entertainment. In response, AKB0048 brings back the general elections and the center nova position. The understudies are now thrusted into a new competition directly against the successors. But as AKB0048 brings back policies not seen since Acchan's disappearance, a new more powerful enemy is quietly moving behind the scenes.

(Source: ANN)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>AKB0048: Next Stage</strong></h1></div>",,,,"Idols (Female)Idols (Female),         MusicMusic",,,Sci-FiSci-Fi,Unknown,
911,Aoharaido,アオハライド,TV,12,Finished Airing,"Jul 8, 2014 to Sep 23, 2014",Summer 2014,"Mainichi Broadcasting System,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha,       BS11,       Animatic,       Hakuhodo DY Media Partners,       Sony PCL",Sentai Filmworks,Production I.G,Manga,,ShoujoShoujo,23 min. per ep.,PG-13 - Teens 13 or older,"7.631 (scored by 500168500,168 users)      1          indicates a weighted score.",#141222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#178,"932,873","10,560","While most young girls make an effort to show off their feminine charms, Futaba Yoshioka deliberately behaves like she wants to repel anyone who might be attracted to her. Ostracized by her female classmates in middle school for being a little too popular with the boys, she desperately strives to avoid a similar situation in high school by being unnecessarily noisy and graceless.

Nevertheless, scattered among Futaba's unpleasant memories are the treasured moments with the boy she had a crush on, Kou Tanaka. Unfortunately, that spell abruptly ended on a sour note when he suddenly stopped attending school and never came back. When Futaba finds out that Kou has returned—with a different last name this time—she can already feel the butterflies in her stomach. However, Kou Mabuchi is not the warm boy that she remembers from her days in middle school; he is now taller, more charismatic and withdrawn—making him far less approachable.

Futaba believes that if she returns to her former self, Kou will begin to take notice of her again. But is she prepared to sacrifice her bubble of normalcy and risk losing her friends in the process?

[Written by MAL Rewrite]
","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Ao Haru Ride</strong></h1><br/><p class=""title-english title-inherit"">Blue Spring Ride</p></div>",Blue Spring Ride,,Blue Spring Ride,"Love PolygonLove Polygon,         SchoolSchool",Blue Spring Ride,Blue Spring Ride,RomanceRomance,,
912,"Bonen no Xamdou, Bonen no Zamudo, Bounen no Zamudo, Bounen no Zamned",亡念のザムド,ONA,26,Finished Airing,"Jul 15, 2008 to Feb 4, 2009",,"Aniplex,       Half H.P Studio",Sentai Filmworks,Bones,Original,"ActionAction,         AdventureAdventure,         Sci-FiSci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,"7.631 (scored by 5893458,934 users)      1          indicates a weighted score.",#141322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1615,"142,422","1,099","Sentan Island is a small island surrounded by the Yuden Sea. It exists in a state of dreamlike tranquility, cut off from the war between the Northern Government and the Southern Continent Free Zone. Our hero, Akiyuki Takehara, lives on Sentain Island along with his mother Fusa. He is currently separated from his father, the town doctor Ryuzo, but the bond between father and son remains. One day, after taking Ryuzo the lunch that Fusa has made for him as usual, Akiyuki arrives at school, where he is caught up in an explosion along with his friends, Haru and Furuichi. The explosion produces a mysterious light, which enters Akiyuki's arm, causing him excruciating pain. He's given no time to understand it, however, as the white-haired girl who rode on the bus with him guides him to a power unlike anything he's ever known.","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Bounen no Xamdou</strong></h1><br/><p class=""title-english title-inherit"">Xam'd: Lost Memories</p></div>",,MilitaryMilitary,,,,,,,
913,,ブレイク ブレイド 覚醒ノ刻,Movie,1,Finished Airing,"May 29, 2010",,"Bandai Visual,       Lantis,       KlockWorx,       Flex Comix,       Fields",Sentai Filmworks,"Production I.G,       Xebec",Manga,"ActionAction,         FantasyFantasy",ShounenShounen,51 min.,R - 17+ (violence & profanity),"7.631 (scored by 4379743,797 users)      1          indicates a weighted score.",#141422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#2315,"84,977",160,"Rygart Arrow is different compared to the other people in the continent of Cruzon: he is unable to control quartz, branded an ""un-sorcerer."" Despite this, he still befriends the future king and queen of Krisna—Hodr and Sigyn—as well as Zess, the younger brother of the Athens Commonwealth's Secretary of War.

Several years later, Rygart discovers that there is a war brewing between Krisna and Athens. While visiting Binonten, the capital city of Krisna, he learns that his misfortune as an un-sorcerer enables him to pilot an ancient Golem, a unique ability that quartz-wielding users lack.

As Zess leads one of the Athenian strikes upon the capital, Rygart joins the battle with his newfound power in hopes of mending the schism between the two nations.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Break Blade Movie 1: Kakusei no Toki</strong></h1><br/><p class=""title-english title-inherit"">Broken Blade</p></div>",Broken Blade,,Broken Blade,"Adult CastAdult Cast,         MechaMecha,         MilitaryMilitary",,,,,
914,,劇場版 カードキャプターさくら,Movie,1,Finished Airing,"Aug 21, 1999",,"Bandai Visual,       Shochiku,       Shelty","Nelvana,       Discotek Media,       Geneon Entertainment USA",Madhouse,Manga,"Award WinningAward Winning,         ComedyComedy,         DramaDrama,         FantasyFantasy",ShoujoShoujo,1 hr. 21 min.,PG - Children,"7.631 (scored by 5908559,085 users)      1          indicates a weighted score.",#141522    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#2081,"100,676",197,"During an after-school shopping trip, Sakura Kinomoto decides to participate in the Tomoeda Shopping District's year-end lottery, with the grand prize being a round trip to Hong Kong. Surprisingly, she draws the winning ball. Alongside her best friend Tomoyo Daidouji, her older brother Touya, her crush Yukito Tsukishiro, and Keroberos, Sakura heads off to Hong Kong.

However, vacation for the Cardcaptor will get cut short. Little does Sakura know, the trip may be connected to her recent, prophetic dreams featuring a mysterious woman and Clow Reed himself, creator of the Clow Cards.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Cardcaptor Sakura Movie 1</strong></h1><br/><p class=""title-english title-inherit"">Cardcaptor Sakura The Movie</p></div>",,Mahou ShoujoMahou Shoujo,Cardcaptor Sakura The Movie,,,,,,
915,,フリップフラッパーズ,TV,13,Finished Airing,"Oct 6, 2016 to Dec 29, 2016",Fall 2016,"Sotsu,       Lantis,       AT-X,       GAGA,       Happinet Pictures,       BS Fuji,       Tokyo MX,       Hakuhodo DY Music & Pictures,       Medicos Entertainment,       Infinite,       RAY",Sentai Filmworks,Studio 3Hz,Original,"AdventureAdventure,         ComedyComedy,         FantasyFantasy,         Sci-FiSci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,"7.631 (scored by 7261972,619 users)      1          indicates a weighted score.",#141622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1254,"191,443","2,141","Cocona is an average middle schooler living with her grandmother. And she who has yet to decide a goal to strive for, soon met a strange girl named Papika who invites her to an organization called Flip Flap.

Dragged along by the energetic stranger, Cocona finds herself in the world of Pure Illusion—a bizarre alternate dimension—helping Papika look for crystal shards. Upon completing their mission, Papika and Cocona are sent to yet another world in Pure Illusion. As a dangerous creature besets them, the girls use their crystals to transform into magical girls: Cocona into Pure Blade, and Papika into Pure Barrier. But as they try to defeat the creature before them, three others with powers from a rival organization enter the fray and slay the creature, taking with them a fragment left behind from its body. Afterward, the girls realize that to stand a chance against their rivals and the creatures in Pure Illusion, they must learn to work together and synchronize their feelings in order to transform more effectively.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Flip Flappers</strong></h1></div>",,Mahou ShoujoMahou Shoujo,Flip Flappers,,,,,,
916,"Free! FrFr - Short Movie, Free! Specials",FrFr!～Free! short movie～,Special,7,Finished Airing,"Sep 11, 2013 to Jan 8, 2014",,Lantis,Funimation,"Kyoto Animation,       Animation Do",Light novel,"ComedyComedy,         SportsSports",,2 min. per ep.,PG-13 - Teens 13 or older,"7.631 (scored by 3394833,948 users)      1          indicates a weighted score.",#141722    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#2530,"73,609",102,Specials bundled with the DVD/BDs.,"<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Free!: FrFr - Short Movie</strong></h1></div>",,,,,,,,,
917,The Society for the Study of Modern Visual Culture,げんしけん,TV,12,Finished Airing,"Oct 11, 2004 to Dec 27, 2004",Fall 2004,"Genco,       Lantis,       Kids Station,       Toshiba Entertainment",Media Blasters,Palm Studio,Manga,,SeinenSeinen,25 min. per ep.,PG-13 - Teens 13 or older,"7.631 (scored by 7175171,751 users)      1          indicates a weighted score.",#141822    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1334,"180,337","1,430","Kanji Sasahara is an introverted college freshman just looking for a place to fit in. One day, he happens to stumble upon the club known as the Society for the Study of Modern Visual Culture—otherwise known as Genshiken—that serves to bring the full spectrum of otaku culture together. His first visit to the club, however, does not end well as Sasahara's pride is crushed by his senior, Harunobu Madarame, and he leaves the meeting in full denial of his otaku nature. However, after befriending club member Makoto Kousaka, who turns out to be a hardcore otaku despite his looks, Sasahara becomes more involved with club activities which include obsessing over their favorite anime, reading doujinshi, and attending conventions. There, he meets other interesting people like Kousaka's vehemently non-otaku girlfriend Saki Kasukabe, who strives to turn her boyfriend into a ""normal guy.""

While Saki struggles to understand otaku culture and her boyfriend's love for it, Sasahara finds himself enjoying his time at Genshiken, gradually shedding any denial he once had about being an otaku and immersing himself in an otaku lifestyle. 

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Genshiken</strong></h1></div>",,,Genshiken,"Adult CastAdult Cast,         Otaku CultureOtaku Culture,         ParodyParody",,,Slice of LifeSlice of Life,Sundays at Unknown,
918,,幻想万華鏡 ~The Memories Of Phantasm~,OVA,18,Finished Airing,"Aug 12, 2011 to May 7, 2023",,"None found, add some","None found, add some","None found, add some",Game,,,16 min. per ep.,PG-13 - Teens 13 or older,"7.631 (scored by 23652,365 users)      1          indicates a weighted score.",#141922    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#7590,"6,683",164,"Marisa, an ordinary magician, suspects a youkai is behind the winterly weather in the middle of spring. She goes off to investigate and soon arrives in the netherworld, facing the youkai behind the strange incident. Will her friend, the shrine maiden Reimu, arrive in time to save the day or will all be lost?

(Source: AniDB)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Gensou Mangekyou: The Memories of Phantasm</strong></h1><br/><p class=""title-english title-inherit"">Touhou Fantasy Kaleidoscope: The Memories of Phantasm</p></div>",,,,,,,FantasyFantasy,,
919,Heartcatch Precure! Hana no To de Fashion Show... desuka!?,映画 ハートキャッチプリキュア！花の都でファッションショー・・・ですか！？,Movie,1,Finished Airing,"Oct 30, 2010",,"None found, add some","None found, add some",Toei Animation,Original,,,1 hr. 13 min.,G - All Ages,"7.631 (scored by 42564,256 users)      1          indicates a weighted score.",#142022    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#7046,"8,091",12,"Sakura Kurumi, Erika's mother, is preparing for a fashion show in Paris. The girls of the school's fashion club are going to model there, including some high school students. While in Paris, they meet a mysterious boy named Oliver. However, Baron Salamander of the Desert Apostles appears, and the girls transform into Pretty Cures to defend Paris.","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... desu ka!?</strong></h1></div>",,Mahou ShoujoMahou Shoujo,,,,,FantasyFantasy,,
920,Idaten Deities in the Peaceful Generation,平穏世代の韋駄天達,TV,11,Finished Airing,"Jul 23, 2021 to Sep 28, 2021",Summer 2021,"Aniplex,       Dentsu,       Hakusensha,       Fuji TV,       GREE Entertainment","None found, add some",MAPPA,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",SeinenSeinen,22 min. per ep.,R - 17+ (violence & profanity),"7.631 (scored by 7696476,964 users)      1          indicates a weighted score.",#142122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1267,"189,872","1,592","Eight hundred years ago, terrifying demons threatened mankind's existence. On the brink of extinction, humans prayed to their gods, calling out for someone to save them. Emerging from these desperate pleas for salvation, battle deities known as the ""Idaten"" were born. Possessing unnatural strength and endurance, the Idaten managed to defeat the demons and an era of unprecedented peace was finally ushered in.

Having never encountered demons before, the present generation of Idaten knows nothing of the demon's brutality, but they have instead only lived a  peaceful existence. Training under Rin, the only remaining Idaten from 800 years ago, the new Idaten find ways to survive in a time where they have seemingly outlived their usefulness. However, when the tyrannical Zoble Empire resurrects a demon, the misfit crop of gods are called to the battlefield against their natural enemy once more.  

[Written by MAL Rewrite]
","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Heion Sedai no Idaten-tachi</strong></h1><br/><p class=""title-english title-inherit"">The Idaten Deities Know Only Peace</p></div>",The Idaten Deities Know Only Peace,MythologyMythology,The Idaten Deities Know Only Peace,,The Idaten Deities Know Only Peace,The Idaten Deities Know Only Peace,,,
921,Haifuri Movie,劇場版 ハイスクール・フリート,Movie,1,Finished Airing,"Jan 18, 2020",,Aniplex,"None found, add some",A-1 Pictures,Original,,,1 hr. 43 min.,PG-13 - Teens 13 or older,"7.631 (scored by 63606,360 users)      1          indicates a weighted score.",#142222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#5124,"17,699",83,"Yokosuka Girls' Marine High School is bustling as they welcome other all-girls maritime high schools for interschool competitive games. Full of excitement, students from different years gather and interact with one another as the festivals and tournaments commence.

In the meantime, mixed feelings fill Akeno Misaki—captain of the distinguished Harekaze class—and her executive officer Mashiro Munetani when their instructor informs them of an opportunity for Mashiro to lead the Hiei class. As a result, Mashiro needs to make the difficult decision soon, and Akeno needs to confront the state of the situation.

The pair face another challenge after Yokosuka finds itself in another pinch. A group of pirates has captured a water purification plant and sea fortress, threatening the safety of the sea. Akeno and Mashiro now must command the Harekaze class in the midst of a dire predicament—all while dealing with their own difficulties.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>High School Fleet Movie</strong></h1></div>",,,,"MilitaryMilitary,         SchoolSchool",,,ActionAction,,
922,Ichigo Marshmallow,苺ましまろ,TV,12,Finished Airing,"Jul 15, 2005 to Oct 14, 2005",Summer 2005,"TBS,       Movic","Sentai Filmworks,       Geneon Entertainment USA",Daume,Manga,,,24 min. per ep.,PG-13 - Teens 13 or older,"7.631 (scored by 3752937,529 users)      1          indicates a weighted score.",#142322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1937,"111,967",959,"""Cute girls doing cute things in cute ways.""

Everyday things make up the fabric of life—whether it's making friends, going to school, trying to make money, or celebrating a holiday. Ichigo Mashimaro is a heartwarming series that follows the daily lives of Itou Chika, her sister Nobue, and her friends Miu, Matsuri, and Ana.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Ichigo Mashimaro</strong></h1><br/><p class=""title-english title-inherit"">Strawberry Marshmallow</p></div>",Strawberry Marshmallow,,Strawberry Marshmallow,"CGDCTCGDCT,         IyashikeiIyashikei",,,Slice of LifeSlice of Life,Fridays at Unknown,
923,,アグレッシブ烈子,TV,100,Finished Airing,"Apr 2, 2016 to Mar 31, 2018",Spring 2016,Sanrio,"None found, add some",Fanworks,Other,,,1 min. per ep.,PG-13 - Teens 13 or older,"7.621 (scored by 5157451,574 users)      1          indicates a weighted score.",#142422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1986,"108,041",651,"Whether it be facing misogynistic remarks from her boss or being pressured by condescending co-workers, stress is just another part of the job for 25-year-old red panda Retsuko. Despite being one of the most diligent workers at her office, her diminutiveness and modesty often lead her to be exploited by her colleagues. However, when her irritation hits the limit, Retsuko brings forth her unique brand of letting off steam: aggressive death metal karaoke bashing the idiocy and hypocrisy of her co-workers' actions and work life. Although this venting only takes place in her mind, it gives her an outlet to counter her frustration in a world where hierarchy and appearances reign supreme.

[Written by MAL Rewrite] ","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Aggressive Retsuko</strong></h1><br/><p class=""title-english title-inherit"">Aggretsuko</p></div>",,,Aggretsuko,"AnthropomorphicAnthropomorphic,         MusicMusic,         WorkplaceWorkplace",,,ComedyComedy,,
924,"Bishoujo Senshi Sailor Moon Super S, Pretty Guardian Sailor Moon SuperS",美少女戦士セーラームーン Super S,TV,39,Finished Airing,"Mar 4, 1995 to Mar 2, 1996",Spring 1995,"TV Asahi,       Toei Advertising","VIZ Media,       Geneon Entertainment USA",Toei Animation,Manga,"FantasyFantasy,         RomanceRomance",ShoujoShoujo,24 min. per ep.,PG-13 - Teens 13 or older,"7.621 (scored by 6211262,112 users)      1          indicates a weighted score.",#142522    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1827,"120,625",543,"SuperS centers heavily on Chibi-usa and the Sailor Team. A new enemy, the Dead Moon Circus, has now appeared. Their motive is to find the Golden Dream Mirror that would be used to rule the world. To do this, the enemy attacks innocent victims for their Dream Mirrors and test their energy. Chibi-usa also has a new ally on her side, Pegasus. This season also sees the Sailor Senshi obtaining new powers. ","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Bishoujo Senshi Sailor Moon SuperS</strong></h1><br/><p class=""title-english title-inherit"">Sailor Moon SuperS</p></div>",Sailor Moon Super S,Mahou ShoujoMahou Shoujo,Sailor Moon SuperS,,,,,,
